PlayerName,Foot,Position,AWR,DWR,OVR,PAC,SHO,PAS,DRI,DEF,PHY,SM,DIV,POS,HAN,REF,KIC,SPD
Pele,R,CAM,H,M,98,95,96,93,96,60,76,5,-1,-1,-1,-1,-1,-1
Diego Maradona,L,CAM,H,M,97,92,93,92,97,40,76,5,-1,-1,-1,-1,-1,-1
Ronaldo,R,ST,M,M,96,97,95,81,95,45,76,5,-1,-1,-1,-1,-1,-1
Zinedine Zidane,R,CAM,M,M,96,85,92,96,95,75,86,5,-1,-1,-1,-1,-1,-1
Ferenc Puskas,L,CF,H,M,94,91,96,91,92,46,76,4,-1,-1,-1,-1,-1,-1
Johan Cruyff,R,CF,H,L,94,91,92,91,94,42,73,5,-1,-1,-1,-1,-1,-1
Mane Garrincha,R,RW,M,L,94,90,87,94,96,41,68,5,-1,-1,-1,-1,-1,-1
Paolo Maldini,R,CB,M,H,94,86,56,75,69,96,83,2,-1,-1,-1,-1,-1,-1
Ronaldinho,R,LW,H,L,94,92,90,91,95,37,81,5,-1,-1,-1,-1,-1,-1
Carlos Alberto Torres,R,RB,H,M,93,90,66,81,86,90,87,3,-1,-1,-1,-1,-1,-1
Eric Cantona,R,CF,H,M,93,89,93,90,93,53,92,5,-1,-1,-1,-1,-1,-1
Eusebio,R,CF,H,M,93,94,94,86,93,45,79,4,-1,-1,-1,-1,-1,-1
Franco Baresi,R,CB,M,H,93,70,49,76,72,95,82,2,-1,-1,-1,-1,-1,-1
George Best,R,RW,M,M,93,93,91,84,94,58,71,4,-1,-1,-1,-1,-1,-1
Lothar Matthaus,R,CM,H,H,93,89,89,90,82,90,85,3,-1,-1,-1,-1,-1,-1
Marco van Basten,R,ST,M,M,93,83,94,76,89,39,75,3,-1,-1,-1,-1,-1,-1
Roberto Baggio,R,CAM,M,L,93,86,84,92,92,40,61,5,-1,-1,-1,-1,-1,-1
Ruud Gullit,R,CF,H,M,93,86,91,91,89,82,90,4,-1,-1,-1,-1,-1,-1
Thierry Henry,R,ST,M,M,93,94,91,83,90,53,80,4,-1,-1,-1,-1,-1,-1
Xavier Hernandez,R,CM,H,H,93,81,80,95,93,72,72,4,-1,-1,-1,-1,-1,-1
Lionel Messi,L,RW,M,L,93,85,92,91,95,34,65,4,-1,-1,-1,-1,-1,-1
